0.0,0.0,0.0,0.16,0.0,0.0;0.85,0.04,-0.04,0.85,0.0,1.6;0.2,-0.26,0.23,0.22,0.0,1.6;-0.15,0.28,0.26,0.24,0.0,0.44
0.07322317,0.12515908,0.2140792,0.044409156,0.0,0.0;0.68372726,0.047184087,-0.28456864,0.60203314,0.0,1.6;0.43344283,-0.44896683,0.4552272,0.12962201,0.0,1.6;-0.31582105,0.46231008,0.11248687,0.45813227,0.0,0.44
-0.16788141,0.039603267,-0.055766772,0.11095341,0.0,0.0;0.6840804,0.25635582,-0.34789845,1.0641949,0.0,1.6;0.20760247,-0.07843353,0.34093902,0.18098758,0.0,1.6;-0.1829536,0.21955532,0.12860283,0.02045561,0.0,0.44
0.121395834,0.19920155,0.20571625,0.22703387,0.0,0.0;0.85585344,0.23402695,0.028302127,0.7037394,0.0,1.6;0.04117304,-0.5311458,0.37463692,0.35363725,0.0,1.6;0.039830334,0.18582913,0.49464735,0.061062798,0.0,0.44
-0.2601483,-0.29648158,-0.04170394,0.2899863,0.0,0.0;0.8749096,0.04866782,0.12486304,0.7434538,0.0,1.6;0.022832049,-0.081907034,0.034924585,0.43772686,0.0,1.6;-0.21430106,0.14740057,0.2476957,0.123128764,0.0,0.44
-0.14847374,0.123169646,-0.10551886,0.37630585,0.0,0.0;0.84799284,0.09288469,-0.117129765,0.7888048,0.0,1.6;0.23066337,-0.5068953,-0.0016198594,0.32506773,0.0,1.6;-0.44777808,0.34383023,0.18623911,0.46329665,0.0,0.44
0.1944072,0.16596313,-0.11565136,0.004108812,0.0,0.0;0.6991445,-0.14914493,0.057098847,0.841601,0.0,1.6;0.2561111,-0.12598807,0.3653095,0.116842024,0.0,1.6;-0.15189792,0.26678878,0.5219937,0.39190683,0.0,0.44
0.034456432,-0.15164009,0.13085572,0.10663459,0.0,0.0;0.9098851,0.1913465,-0.25874707,0.7255931,0.0,1.6;0.11552947,-0.2844633,0.4355885,0.33845842,0.0,1.6;-0.073838055,0.44533363,0.3166932,0.056628402,0.0,0.44
0.03579943,-0.14249207,0.12256378,0.09552772,0.0,0.0;0.81792516,0.20511861,-0.24958228,0.7482759,0.0,1.6;0.109369196,-0.34437907,0.57236326,0.42470843,0.0,1.6;-0.07685798,0.36148733,0.23898892,0.06040699,0.0,0.44
-0.017858095,0.095755324,0.23217174,0.26130942,0.0,0.0;0.75080216,0.17907794,-0.20982076,0.940468,0.0,1.6;0.12231235,-0.26287788,0.2273886,0.090739734,0.0,1.6;-0.15874167,0.43718746,0.36043787,0.20472379,0.0,0.44
0.031028748,-0.16139755,-0.18280977,-0.06549916,0.0,0.0;0.8611119,0.15822867,-0.24870685,0.886156,0.0,1.6;-0.034462765,-0.5005524,0.335926,0.39568368,0.0,1.6;-0.12817675,0.52211666,0.47896188,0.3298015,0.0,0.44
-0.21159515,-0.12909433,0.014671609,-0.01314466,0.0,0.0;0.6726133,0.14439878,-0.15840478,0.89447546,0.0,1.6;0.16125773,-0.50673014,0.38344324,0.3952149,0.0,1.6;-0.2756265,0.042632364,0.28077725,0.32351816,0.0,0.44
0.04923135,-0.15545043,0.07156268,0.25908035,0.0,0.0;0.87216425,0.100076295,-0.06513528,0.87773204,0.0,1.6;0.25903386,-0.4883824,0.2648921,-0.00206995,0.0,1.6;-0.010151923,0.21149564,0.23260918,0.0036385208,0.0,0.44
-0.006265849,-0.0041739345,0.11614728,-0.026178807,0.0,0.0;0.9131087,0.25033805,-0.27144867,0.9758967,0.0,1.6;0.067379996,-0.09756991,0.31026548,0.053230554,0.0,1.6;-0.055560797,0.5223866,0.3129588,0.2524565,0.0,0.44
-0.0064071915,-0.0052214633,0.13480976,-0.023494959,0.0,0.0;0.884532,0.2191425,-0.2507472,0.9561505,0.0,1.6;0.06794462,-0.1303743,0.23673965,0.041719794,0.0,1.6;-0.053986143,0.52551454,0.37172955,0.27521366,0.0,0.44
0.08132294,0.12809294,-0.16093716,0.02834338,0.0,0.0;0.96423733,0.025061913,-0.046497025,0.75229824,0.0,1.6;0.34545904,-0.36704615,0.34358782,0.40278742,0.0,1.6;-0.23824775,0.4011438,0.3660779,0.35046166,0.0,0.44
0.2218189,0.041837096,-0.11827099,0.2890673,0.0,0.0;0.74874556,0.2452732,-0.20076141,1.0596306,0.0,1.6;0.23578022,-0.33128834,0.3852678,0.034992218,0.0,1.6;-0.19110069,0.08495796,0.26476985,0.042316005,0.0,0.44
-0.120839596,-0.07960644,0.22617695,0.28243265,0.0,0.0;0.838393,0.1827122,-0.12202654,0.9433176,0.0,1.6;0.04166369,-0.38303456,0.28829396,0.35338816,0.0,1.6;0.04884523,0.48831674,0.10070318,0.19836874,0.0,0.44
-0.11737788,-0.08301248,0.25403547,0.33792147,0.0,0.0;0.8735147,0.1472022,-0.14229278,0.84126794,0.0,1.6;0.038726065,-0.4528376,0.280419,0.35772067,0.0,1.6;0.037295252,0.5853841,0.08681376,0.18470478,0.0,0.44
0.21743393,-0.05107826,-0.0573906,0.2240248,0.0,0.0;0.8642572,0.15102962,-0.08530409,0.96657217,0.0,1.6;0.2386017,-0.37301558,0.26440388,0.45796716,0.0,1.6;0.07388279,0.069374084,0.027776599,0.4160387,0.0,0.44
0.27443796,-0.031722065,-0.07768709,0.28838134,0.0,0.0;0.8646821,0.123854205,-0.0738442,0.88996404,0.0,1.6;0.21946721,-0.3149382,0.32400134,0.45862305,0.0,1.6;0.076313324,0.0669346,0.026665667,0.4868448,0.0,0.44
0.009609014,-0.21852228,0.06500244,0.08415303,0.0,0.0;0.69298935,0.26187322,-0.2138955,1.0286062,0.0,1.6;-0.049706265,-0.46563327,0.18518843,0.2653966,0.0,1.6;-0.20234948,0.28696594,0.34285712,0.2600574,0.0,0.44
0.009538902,-0.2330271,0.05775633,0.07235961,0.0,0.0;0.72817796,0.22943398,-0.22861318,0.96198004,0.0,1.6;-0.048344072,-0.4295445,0.17239153,0.3321697,0.0,1.6;-0.22333403,0.33439082,0.33618677,0.22908753,0.0,0.44
0.09550351,-0.11383346,-0.22370744,-0.04321134,0.0,0.0;0.68290603,-0.19723555,0.17819923,0.89299405,0.0,1.6;0.39179933,-0.4288661,0.07078026,0.09397489,0.0,1.6;-0.3577277,0.27948162,0.017937094,0.28557295,0.0,0.44
-0.08643467,-0.036855318,-0.027039822,0.31263673,0.0,0.0;0.888866,0.13154589,0.012913793,0.8853173,0.0,1.6;0.4810992,-0.2580864,0.08333078,0.28614655,0.0,1.6;-0.048065953,0.09733814,0.27663586,-0.0025732208,0.0,0.44
-0.079145074,-0.014784753,0.21718836,0.2680713,0.0,0.0;1.0981424,0.16581368,0.035996042,0.71287775,0.0,1.6;0.05581139,-0.44267774,0.049510255,0.042544782,0.0,1.6;-0.39526996,0.42198652,0.23160687,0.3884459,0.0,0.44
0.09424961,-0.11021753,0.08762613,-0.04303551,0.0,0.0;0.8246446,0.15841642,-0.07886548,0.8963767,0.0,1.6;0.31521815,-0.3288387,-0.00952509,0.48195347,0.0,1.6;-0.341814,0.17825992,0.34629294,0.46227917,0.0,0.44
-0.14928773,0.152415,0.030142874,0.09316823,0.0,0.0;0.66743195,0.095244266,0.1360229,0.9279145,0.0,1.6;0.09360699,-0.42201224,0.3937655,0.2843128,0.0,1.6;-0.31828824,0.03197846,0.44481975,0.100253955,0.0,0.44
-0.16140002,0.06973882,-0.19386119,0.22285835,0.0,0.0;0.95425093,0.042919938,0.2093094,0.82192177,0.0,1.6;0.03417201,-0.37387362,0.047175564,0.19174647,0.0,1.6;-0.034360047,0.4040893,0.4836208,0.08605656,0.0,0.44
0.054640412,-0.20264378,0.015187621,0.4046686,0.0,0.0;0.7435099,-0.1968565,0.19767734,0.8364929,0.0,1.6;0.3566519,-0.30533388,0.16592781,0.3659583,0.0,1.6;-0.27532429,0.34681395,0.2807889,0.44570607,0.0,0.44
-0.21742211,-0.034062862,-0.16905184,0.13038708,0.0,0.0;0.61901355,0.16449125,-0.12581013,0.8919194,0.0,1.6;0.42465276,-0.45939463,0.25876206,0.09310055,0.0,1.6;-0.19711915,0.2048584,0.034747083,0.09224991,0.0,0.44
-0.20227627,-0.031159261,-0.18143289,0.12910725,0.0,0.0;0.6807001,0.16457897,-0.12324386,0.9590571,0.0,1.6;0.3859979,-0.4215684,0.2741473,0.09653563,0.0,1.6;-0.21212271,0.20701271,0.03145374,0.10105504,0.0,0.44
-0.19917074,-0.03676104,-0.22390515,0.12680049,0.0,0.0;0.6705094,0.16475749,-0.11622371,0.81018496,0.0,1.6;0.38253626,-0.40715197,0.31046674,0.08867715,0.0,1.6;-0.22227289,0.19703585,0.030304538,0.09690207,0.0,0.44
-0.11540967,-0.10854086,0.19470695,-0.010944486,0.0,0.0;0.9689982,0.22721797,0.1484412,1.022551,0.0,1.6;-0.03750114,-0.2748303,0.19278161,0.12203151,0.0,1.6;-0.29666936,0.14489311,0.12414831,0.022615537,0.0,0.44
0.040130343,0.075991176,0.15723394,0.35094747,0.0,0.0;0.91053784,0.14653665,-0.11577058,0.88166344,0.0,1.6;0.21826582,-0.1896951,0.13876948,0.022441352,0.0,1.6;-0.20993547,0.18358116,0.030966002,0.43121102,0.0,0.44
